atraccion_1,atraccion_2,metros
Angkor,Armadillos,750.0
Angkor,Buffalo Rodeo,800.0
Angkor,Canoes,290.0
Angkor,Carousel,1100.0
Angkor,Cobra imperial,550.0
Angkor,Coco Piloto,240.0
Angkor,Crazy Barrels,750.0
Angkor,Dragon Khan,450.0
Angkor,El Diablo - Tren De La Mina,750.0
Angkor,El Huerto Encantado,170.0
Angkor,El Salto de Blas,240.0
Angkor,El Secreto de los Mayas,750.0
Angkor,El Árbol Mágico,190.0
Angkor,Estació del Nord,600.0
Angkor,Furius Baco,650.0
Angkor,Grand Canyon Rapids,700.0
Angkor,Hurakan Condor,850.0
Angkor,Kiddie Balloons,700.0
Angkor,Kiddie Dragons,130.0
Angkor,Kiddie Kities,700.0
Angkor,Kontiki,300.0
Angkor,La Granja de Elmo,270.0
Angkor,Laberinto Blacksmith,1100.0
Angkor,Los Potrillos,750.0
Angkor,Magic Fish,190.0
Angkor,Makamanu Summit,1000.0
Angkor,Makamanu Trail,400.0
Angkor,Mariposas Saltarinas,240.0
Angkor,Penitence Station,1000.0
Angkor,Serpiente Emplumada,850.0
Angkor,Shambhala,300.0
Angkor,Silver River Flume,900.0
Angkor,Stampida,1200.0
Angkor,Street Mission,110.0
Angkor,SésamoAventura Station,130.0
Angkor,Tami - Tami,290.0
Angkor,Tea Cups,550.0
Angkor,Templo del Fuego,800.0
Angkor,Tomahawk,1000.0
Angkor,Tutuki Splash,450.0
Angkor,ULUM: El despertar jurásico,1000.0
Angkor,Uncharted,1100.0
Angkor,VolPaiute,1000.0
Angkor,Waikiki,130.0
Angkor,Wild Buffalos,750.0
Angkor,Yucatán,1000.0
Armadillos,Buffalo Rodeo,700.0
Armadillos,Canoes,800.0
Armadillos,Carousel,450.0
Armadillos,Cobra imperial,500.0
Armadillos,Coco Piloto,800.0
Armadillos,Crazy Barrels,750.0
Armadillos,Dragon Khan,280.0
Armadillos,El Diablo - Tren De La Mina,0.0
Armadillos,El Huerto Encantado,700.0
Armadillos,El Salto de Blas,800.0
Armadillos,El Secreto de los Mayas,58.0
Armadillos,El Árbol Mágico,750.0
Armadillos,Estació del Nord,1000.0
Armadillos,Furius Baco,1100.0
Armadillos,Grand Canyon Rapids,850.0
Armadillos,Hurakan Condor,150.0
Armadillos,Kiddie Balloons,450.0
Armadillos,Kiddie Dragons,650.0
Armadillos,Kiddie Kities,450.0
Armadillos,Kontiki,800.0
Armadillos,La Granja de Elmo,800.0
Armadillos,Laberinto Blacksmith,400.0
Armadillos,Los Potrillos,0.0
Armadillos,Magic Fish,750.0
Armadillos,Makamanu Summit,1400.0
Armadillos,Makamanu Trail,800.0
Armadillos,Mariposas Saltarinas,800.0
Armadillos,Penitence Station,500.0
Armadillos,Serpiente Emplumada,190.0
Armadillos,Shambhala,400.0
Armadillos,Silver River Flume,600.0
Armadillos,Stampida,500.0
Armadillos,Street Mission,650.0
Armadillos,SésamoAventura Station,650.0
Armadillos,Tami - Tami,800.0
Armadillos,Tea Cups,500.0
Armadillos,Templo del Fuego,140.0
Armadillos,Tomahawk,350.0
Armadillos,Tutuki Splash,1000.0
Armadillos,ULUM: El despertar jurásico,1400.0
Armadillos,Uncharted,450.0
Armadillos,VolPaiute,300.0
Armadillos,Waikiki,650.0
Armadillos,Wild Buffalos,750.0
Armadillos,Yucatán,1400.0
Buffalo Rodeo,Canoes,500.0
Buffalo Rodeo,Carousel,350.0
Buffalo Rodeo,Cobra imperial,800.0
Buffalo Rodeo,Coco Piloto,550.0
